league_key,league_name,country,season,season_label,team_id,team_name,position,points,is_champion,is_top4,games_played,wins,draws,losses,goals_for,goals_for_avg,goals_against,goal_diff,goals_against_avg,goals_against_home,goals_against_away
EPL,Premier League,England,2022,2022/23,50,Manchester City,1,89,1,1,38,28,5,5,94,2.474,33,61,0.868,17,16
EPL,Premier League,England,2022,2022/23,42,Arsenal,2,84,0,1,38,26,6,6,88,2.316,43,45,1.132,25,18
EPL,Premier League,England,2022,2022/23,33,Manchester United,3,75,0,1,38,23,6,9,58,1.526,43,15,1.132,10,33
EPL,Premier League,England,2022,2022/23,34,Newcastle,4,71,0,1,38,19,14,5,68,1.789,33,35,0.868,14,19
EPL,Premier League,England,2022,2022/23,40,Liverpool,5,67,0,0,38,19,10,9,75,1.974,47,28,1.237,17,30
EPL,Premier League,England,2022,2022/23,51,Brighton,6,62,0,0,38,18,8,12,72,1.895,53,19,1.395,21,32
EPL,Premier League,England,2022,2022/23,66,Aston Villa,7,61,0,0,38,18,7,13,51,1.342,46,5,1.211,21,25
EPL,Premier League,England,2022,2022/23,47,Tottenham,8,60,0,0,38,18,6,14,70,1.842,63,7,1.658,25,38
EPL,Premier League,England,2022,2022/23,55,Brentford,9,59,0,0,38,15,14,9,58,1.526,46,12,1.211,18,28
EPL,Premier League,England,2022,2022/23,36,Fulham,10,52,0,0,38,15,7,16,55,1.447,53,2,1.395,29,24
EPL,Premier League,England,2022,2022/23,52,Crystal Palace,11,45,0,0,38,11,12,15,40,1.053,49,-9,1.289,23,26
EPL,Premier League,England,2022,2022/23,49,Chelsea,12,44,0,0,38,11,11,16,38,1.0,47,-9,1.237,19,28
EPL,Premier League,England,2022,2022/23,39,Wolves,13,41,0,0,38,11,8,19,31,0.816,58,-27,1.526,20,38
EPL,Premier League,England,2022,2022/23,48,West Ham,14,40,0,0,38,11,7,20,42,1.105,55,-13,1.447,24,31
EPL,Premier League,England,2022,2022/23,35,Bournemouth,15,39,0,0,38,11,6,21,37,0.974,71,-34,1.868,28,43
EPL,Premier League,England,2022,2022/23,65,Nottingham Forest,16,38,0,0,38,9,11,18,38,1.0,68,-30,1.789,24,44
EPL,Premier League,England,2022,2022/23,45,Everton,17,36,0,0,38,8,12,18,34,0.895,57,-23,1.5,27,30
EPL,Premier League,England,2022,2022/23,46,Leicester,18,34,0,0,38,9,7,22,51,1.342,68,-17,1.789,27,41
EPL,Premier League,England,2022,2022/23,63,Leeds,19,31,0,0,38,7,10,21,48,1.263,78,-30,2.053,37,41
EPL,Premier League,England,2022,2022/23,41,Southampton,20,25,0,0,38,6,7,25,36,0.947,73,-37,1.921,37,36
EPL,Premier League,England,2023,2023/24,50,Manchester City,1,91,1,1,38,28,7,3,96,2.526,34,62,0.895,16,18
EPL,Premier League,England,2023,2023/24,42,Arsenal,2,89,0,1,38,28,5,5,91,2.395,29,62,0.763,16,13
EPL,Premier League,England,2023,2023/24,40,Liverpool,3,82,0,1,38,24,10,4,86,2.263,41,45,1.079,17,24
EPL,Premier League,England,2023,2023/24,66,Aston Villa,4,68,0,1,38,20,8,10,76,2.0,61,15,1.605,28,33
EPL,Premier League,England,2023,2023/24,47,Tottenham,5,66,0,0,38,20,6,12,74,1.947,61,13,1.605,27,34
EPL,Premier League,England,2023,2023/24,49,Chelsea,6,63,0,0,38,18,9,11,77,2.026,63,14,1.658,26,37
EPL,Premier League,England,2023,2023/24,34,Newcastle,7,60,0,0,38,18,6,14,85,2.237,62,23,1.632,22,40
EPL,Premier League,England,2023,2023/24,33,Manchester United,8,60,0,0,38,18,6,14,57,1.5,58,-1,1.526,28,30
EPL,Premier League,England,2023,2023/24,48,West Ham,9,52,0,0,38,14,10,14,60,1.579,74,-14,1.947,28,46
EPL,Premier League,England,2023,2023/24,52,Crystal Palace,10,49,0,0,38,13,10,15,57,1.5,58,-1,1.526,26,32
EPL,Premier League,England,2023,2023/24,51,Brighton,11,48,0,0,38,12,12,14,55,1.447,62,-7,1.632,27,35
